cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,netinc,NETIMIN,NETINBM,ntlnls,eqcdiv,eqcstkrx,noij
"26483","12669","339773","0","Needham Bank","Needham","MA","2492","6/30/2018","8/15/2018","SM","1063 Great Plain Avenue","","10","0","0","4","0","Norfolk","14460","Boston-Cambridge-Newton, MA-NH","1/1/1892","1/13/1986","2/6/2017","Non-Stock","0","0","FED","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","http://www.needhambank.com","40444","9368","31076","0","-431","0","170","0","-601","21402","13126","1771","6505","9243","0","2136","7107","0","7107","0","7107","-296","0","0","7107"
"34548","16008","2333140","2333131","Neighborhood National Bank","San Diego","CA","92113","6/30/2018","8/15/2018","N","3511 National Avenue","NEIGHBORHOOD BANCORP","2","0","0","4","0","San Diego","41740","San Diego-Carlsbad, CA","9/19/1997","9/19/1997","3/2/2018","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","http://www.mynnb.com","1127","79","1048","0","1380","0","1338","","42","3160","1487","395","1278","-732","0","3","-735","0","-735","0","-735","-12","0","8","-735"
"18885","12860","705556","1124024","Neighborhood National Bank","Mora","MN","55051","6/30/2018","8/15/2018","N","45 North Union Street","PEOPLES BANKSHARES, INC.","6","0","0","4","1","Kanabec","","","9/26/1963","9/26/1963","6/12/2015","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.neighborhood.bank","4724","476","4248","60","564","0","188","0","376","3523","2050","350","1123","1229","0","0","1229","0","1229","0","1229","-148","917","0","1229"
"2482","0","791942","1204074","Nekoosa Port Edwards State Bank","Nekoosa","WI","54457","6/30/2018","8/15/2018","NM","405 Market Street","NEKOOSA PORT EDWARDS BANCORPORATION, INC.","3","0","0","8","1","Wood","","","12/13/1913","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","www.npesb.com","3778","808","2970","10","132","0","61","","71","1606","845","173","588","1486","0","0","1486","0","1486","0","1486","-23","1240","0","1486"
"28085","871","840578","0","Nelsonville Home and Savings","Nelsonville","OH","45764","6/30/2018","8/15/2018","NM","9 West Columbus Street","","1","0","0","5","0","Athens","","","1/1/1888","8/19/1936","1/1/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.nelsonvillehomebank.com","552","91","461","10","16","0","6","","10","302","177","21","104","165","0","39","126","0","126","0","126","0","24","0","126"
"22669","0","400767","0","Nevada Bank and Trust Company","Caliente","NV","89008","6/30/2018","8/15/2018","NM","210 Front Street","","4","0","0","7","0","Lincoln","","","6/21/1978","6/21/1978","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","West","0","1","www.nevadabankandtrust.com","2058","58","2000","0","249","0","83","","166","1816","978","202","636","433","0","38","395","0","395","0","395","18","50","0","395"
"8506","14541","234841","0","New Albin Savings Bank","New Albin","IA","52160","6/30/2018","8/15/2018","NM","118 Main Street","","1","0","0","2","0","Allamakee","","","1/1/1898","1/1/1934","6/3/2010","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://www.newalbinsavingsbank.com","3826","1217","2609","0","41","0","31","","10","783","538","36","209","1867","178","291","1754","0","1754","0","1754","-109","1000","0","1600.92"
"31257","6624","294676","0","New Buffalo Savings Bank","New Buffalo","MI","49117","6/30/2018","8/15/2018","SA","45 North Whittaker St","","3","0","0","4","0","Berrien","35660","Niles-Benton Harbor, MI","1/1/1921","12/14/1961","10/19/2015","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","0","1","www.newbuffalosavings.com","2434","513","1921","-50","938","0","58","","880","2305","1212","190","903","604","0","0","604","0","604","0","604","-2","0","0","604"
"29173","3043","646873","0","New Carlisle Federal Savings Bank","New Carlisle","OH","45344","6/30/2018","8/15/2018","SA","400 North Main Street","","3","0","0","4","0","Clark","44220","Springfield, OH","1/1/1883","10/26/1935","9/25/2017","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.newcarlislefederal.com","2418","471","1947","15","364","0","75","","289","1843","949","146","748","453","0","77","376","0","376","0","376","-12","0","0","376"
"8108","0","392152","3333790","New Century Bank","Belleville","KS","66935","6/30/2018","8/15/2018","SM","1211 28th Street","REPUBLIC BANCORP, INC.","2","0","0","4","1","Republic","","","5/5/1905","1/1/1934","4/2/2014","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","www.newcenturybankna.com","1712","220","1492","66","390","0","26","","364","1128","579","135","414","688","0","16","672","0","672","0","672","2","505","0","672"
