,Tot Dom Deposits to Tot Assets,Return On Assets,Assets per Emp,Yield on Earning Assets,Net Loans Lease to Tot Assets,RE to Ave Equity,Efficiency Ratio,Core Capital Ratio,Noncurr Assets Other RE,Cost of Funding Earnings Assets,Number Employees,Return on Equity
133,84.24024453,2.458073053,6.8295,4.352057937,83.57493228,16.23922631,42.20779221,16.6525601,0.0,0.112965868,16.0,16.23922631
134,70.89887804,0.8080356670000001,6.247181818,4.606543422,73.63029148,5.47559921,72.06870799,12.65180563,0.7072279859999999,0.981328794,11.0,6.6816783310000005
135,74.83429729,0.489127232,4.180058824,5.589412127,81.18658617,4.047793221,89.47368421,11.93171168,2.03627869,1.043397969,17.0,4.047793221
137,87.07452699,1.436481217,4.564293478,4.289705068,58.79166022,9.403086308999999,59.25238272,10.14188417,0.17646428399999994,0.778154263,92.0,14.94771717
138,84.21213928,1.288858223,8.483914286000001,4.608384387,80.74035907,2.108108108,55.67338282,14.12524072,0.0,0.413861648,35.0,9.199017199
139,74.75926479,1.342844786,7.027215094,4.356200344,78.69764559999999,8.664877248,55.60599807,8.93737646,0.190714054,0.6896852440000001,530.0,14.34476411
140,84.43217913,1.055601756,3.679955556,4.335067831,68.98754816,-4.230479837,72.64350641,11.1260685,0.923622266,0.794382376,180.0,9.162496531
141,83.77487444,1.874979994,10.72981481,4.589844119,75.95070848,4.760619796,47.45762712,13.08513521,0.051776807,1.044246249,27.0,14.69485571
142,86.13187637,1.348444241,5.618359132999999,4.014291429,73.18813267,6.34020732,58.09513299,10.79910066,0.17710623600000006,0.444833369,323.0,10.74190638
143,79.82479427,1.067550763,3.480898734,5.458864675,77.93782342,7.63417102,75.75655114,12.25093018,1.842969406,0.88836465,79.0,8.871475885
144,80.82813521,1.703212128,11.51711364,5.049446791,86.49243320000002,12.91491387,37.81379091,13.74007684,0.259889927,1.161377001,44.0,12.91491387
145,80.6715907,1.795260131,4.727973684,5.370373329,77.75557572,6.327160494,63.96299484,15.07009213,0.06567852,0.908736783,38.0,11.96759259
146,86.0782912,0.84972668,6.75657,3.436240563,43.00214458,-3.794272368,64.50976709,8.772545494,0.429951884,0.229971798,100.0,7.834217047999999
147,89.91186604,1.030328543,6.718852273,4.867974653,79.98897268,10.09636907,62.52726832,9.362806479,0.060717892,0.277134276,88.0,10.09636907
150,88.33004491,1.147105217,6.136716169,4.03505098,67.69002387,5.776807705,60.55467621,8.593420757,0.389771268,0.228477712,1138.0,13.03037597
151,85.14318147,0.473285288,4.111028986,4.825713062,77.23233014,4.1750180010000015,84.93029822,10.14242242,0.6194013279999999,0.721074153,69.0,4.1750180010000015
152,79.30065497,1.749619895,6.950476563,4.629491238,88.05893481,4.562132613999999,49.94907774,11.93878487,1.871836576,1.168521458,128.0,14.48388184
153,81.88485704,1.886283362,5.464333333,4.87218771,69.72629029999999,3.89795595,57.04590818,8.921405661,0.222890633,0.847884486,39.0,20.79966197
155,87.54136447,2.216756895,6.946895349,3.457102506,44.8950761,0.588793991,45.41867955,11.12664295,1.093511741,0.206317067,86.0,21.12416516
157,81.70194568,0.937335075,3.915120521,3.837180865,80.93177541,5.346920165,75.17809514,10.5570385,0.62498856,0.739920439,307.0,8.914777115
159,81.39602804,1.227611579,4.669090909,5.314250394,86.02998442,10.21427421,54.29864253,11.53114221,0.19665109,0.898361376,11.0,10.21427421
160,87.42722882,0.967408414,4.104107143,4.722506956,77.33977288,12.55211573,79.14353688,8.187468179,0.13053126199999998,0.536315712,28.0,12.55211573
161,86.48048225,0.755163158,10.49627273,4.237868003,84.54256489,5.915759584,72.6921218,12.73448373,0.0,0.73578417,22.0,5.915759584
162,86.15204502,0.353930259,4.048,4.304739052,70.41749012,1.256131116,78.25476992,9.126347922999999,1.430121155,0.5447713479999999,46.0,3.888024883
165,79.71614313,0.700234138,5.15310177,4.347998304,76.04681775,6.009725117,75.53556127,9.118653301,0.099690795,0.8420365259999999,226.0,7.994442791
