cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"10919","0","1013650","1065190","The State Bank of Bern","Bern","KS","66408","6/30/2018","8/15/2018","NM","402 Main St","BERN BANCSHARES, INC.","2","0","0","2","0","Nemaha","","","5/4/1889","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","http://statebankofbern.com","13","92500","2469","1056","41046","587","46498","676","0","75","0","0","1825","92500","77862","77426","62794","77426","87.6559599917509","0","0","278","0","158","14638","14638","0","100","150","14388","0","94","0","1208","89187","15439","94814.67","94453","66173","92908","168","168","0","0","3128","0","278","0","7865","14820","676","7865","0"
"13926","0","858153","0","The State Bank of Canton, Canton, Kansas","Canton","KS","67428","6/30/2018","8/15/2018","NM","103 South Main Street","","1","0","0","2","0","Mcpherson","","","5/15/1895","2/21/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","www.statebankofcanton.com","5","29617","2485","490","10226","6700","9660","128","0","109","137","0","300","29618","23848","23835","15766","23835","90.281447925842","0","0","0","0","13","5770","5770","0","210","490","5070","0","42","0","161","27076","1233","29467.33","29647.5","13976","29213","0","0","0","0","0","0","0","0","1096","5890","128","1096","0"
"1610","12721","46053","1126158","The State Bank of Faribault","Faribault","MN","55021","6/30/2018","8/15/2018","NM","428 Central Avenue","FARIBAULT BANCSHARES, INC.","2","0","0","4","1","Rice","","","11/14/1919","1/1/1934","12/14/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.tsbf.com","44","196941","12921","7123","42893","1349","122211","2222","0","6587","1167","441","9372","196941","176230","174742","132823","174742","80.8552864872285","0","0","0","0","1488","20711","20711","0","1000","9000","10711","0","469","0","724","173576","71976","197656.67","197238","165286","197870","5662","5372","0","290","5452","255","0","992","24335","21415","2068","24335","0"
"925","0","991135","1136924","The State Bank of Geneva","Geneva","IL","60134","6/30/2018","8/15/2018","SM","22 South Fourth Street","GENEVA BANCSHARES, INC.","1","0","0","4","1","Kane","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/1/1903","1/1/1934","1/1/2012","Stock","0","1","FED","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.sbgeneva.com","25","82633","11735","10834","17641","0","44809","944","0","2518","524","0","5406","82633","75675","75386","55114","75386","89.6262698602159","0","0","0","0","289","6958","6958","0","930","2070","3958","0","153","0","190","73284","13199","81565.33","82346.5","53143","81549","4856","4856","0","0","3122","2431","0","0","4063","7662","666","4063","0"
"16344","0","923949","1246720","The State Bank of Pearl City","Pearl City","IL","61062","6/30/2018","8/15/2018","NM","215 South Main Street","PEARL CITY BANCORP, INC.","2","0","0","6","1","Stephenson","","","12/8/1945","12/8/1945","2/20/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","www.pearlcitybank.com","16","58615","9324","8008","11493","0","36144","427","0","1105","116","0","433","58615","53048","52870","39423","52870","86.7366989117291","0","0","0","0","178","5567","5567","0","50","950","4567","0","256","0","247","55645","15882","58237.67","57789","38495","58462","0","0","0","0","861","20","0","0","678","5885","427","678","0"
"8110","0","418856","1051063","The State Bank of Spring Hill","Spring Hill","KS","66083","6/30/2018","8/15/2018","NM","201 South Webster Street","DUNMIRE AGENCY, INC., THE","1","0","0","7","0","Johnson","28140","Kansas City, MO-KS","5/17/1927","1/1/1934","8/22/2017","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","www.sbsh-ks.com","10","49553","4800","3929","19087","8919","15103","219","0","151","1156","0","337","49553","45395","45243","33705","45243","59.852369165488","0","0","0","0","152","4158","4158","0","100","400","3658","0","0","0","241","47038","5273","46878","47771","23552","47377","0","0","0","0","1246","0","0","0","5994","4296","219","5994","0"
"4514","13211","490348","1200179","The State Bank of Toledo","Toledo","IA","52342","6/30/2018","8/15/2018","NM","100 East High","TAMA COUNTY ABSTRACT COMPANY","2","0","0","2","1","Tama","","","1/1/1927","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","www.banktoledo.com","20","111732","8623","6803","0","705","97534","1652","0","2229","0","0","2641","111732","101393","95465","68637","95465","89.6605875332398","2950","0","2750","0","228","10339","10339","0","480","2520","7339","0","3362","0","497","105042","10778","113101","113664.5","92048","112902","0","0","0","0","7403","8805","2750","0","10156","10338","1157","10156","0"
"1114","14214","566953","2270834","The State Bank of Townsend","Townsend","MT","59644","6/30/2018","8/15/2018","NM","400 Broadway","BIG MUDDY BANCORP, INC.","4","0","0","2","0","Broadwater","","","6/1/1899","1/1/1934","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.statebankoftownsend.com","30","110909","8640","5091","3425","0","91549","585","0","2471","91","377","4356","110909","97752","93946","64817","93946","90.9207963989657","3000","0","0","0","806","13157","13157","0","491","11432","1234","0","1008","0","1166","100065","14434","112215.33","111851","90558","109757","2813","2813","0","0","8458","402","0","0","13394","12788","585","13394","0"
"4232","0","952257","2438205","The State Bank of Wynnewood","Wynnewood","OK","73098","6/30/2018","8/15/2018","NM","109 S. Dean A. Mcgee Street","GARVIN COUNTY BANCSHARES, INC.","1","0","0","2","1","Garvin","","","8/1/1910","1/1/1934","10/2/2007","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.sbwok.com","16","88184","1552","531","39866","0","44335","597","0","147","0","0","2284","88184","75429","72694","59160","72694","76.0741677433543","0","0","2500","0","235","12755","12755","0","150","1650","10955","0","8","0","650","84732","54673","87357","88035","57238","88847","1427","1427","0","0","15241","278","2500","0","5146","13278","597","5146","0"
"13551","0","354851","1062500","The State Exchange Bank","Lamont","OK","74643","6/30/2018","8/15/2018","NM","1280 Main Street","STATE EXCHANGE BANCSHARES, INC.","1","0","0","2","1","Grant","","","10/1/1901","1/1/1934","3/15/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.stateexchangebank.com","12","67423","7481","6504","3713","0","53945","1879","0","79","0","0","2205","67423","60522","57888","45786","57888","78.2410603341157","0","0","2500","0","134","6901","6901","0","250","2150","4501","0","695","686","1033","64162","18142","65839","66505","60333","67510","936","936","0","0","4771","1180","2500","0","7993","6910","768","7993","0"
