,Tot Dom Deposits to Tot Assets,Return On Assets,Net Op Inc to Assets,Pretax ROA,Assets per Emp,NonInterest Inc to Ave Asset,NonInterest Exp to Ave Asset,Yield on Earning Assets,Net Loans Lease to Tot Assets,RE to Ave Equity,Net Interest Margin,Efficiency Ratio,Core Capital Ratio,Equity to Assets,Noncurr Assets Other RE,Cost of Funding Earnings Assets,Noncurrent Loans to Loans,Number Employees,Return on Equity
5176,79.61213091,0.985268677,0.985268677,1.34937618,9.642428571,0.279460288,2.357051472,4.590076075,82.25165563,10.46092847,3.785710002,60.25457438,9.432046536,9.193890098999999,0.0,0.804366073,0.0,35.0,10.46092847
5179,89.08781914,1.199391581,1.199391581,1.583035353,4.744125,0.258454752,2.620892715,5.01158378,79.65839328,12.49391542,4.234120272,61.40018921,9.586261045,9.278581402999999,1.157352515,0.777463508,1.239823554,32.0,13.00476476
5180,86.8985045,1.786881594,1.782068655,2.030653809,12.2902,0.20783144,1.773599133,4.114169,60.6983613,10.86700363,3.749437706,46.40228945,12.89398968,12.8533303,0.072822249,0.364731294,0.118674295,20.0,14.70582089
5181,84.29881049,0.8555995679999999,0.8555995679999999,1.064714624,4.455615385,0.804561317,3.332372467,4.915092942,71.87714725,3.613441648,4.136023361,71.14187928,8.1177467,7.833157813,0.36531257,0.7790695809999999,0.312801571,65.0,10.71602965
5182,86.59189855,1.010573341,1.010359632,1.166515402,28.10681421,0.205766554,1.310502861,3.781692602,88.21941357,13.29105904,2.381034262,52.38352398,7.865091102999999,7.655300904,0.116903763,1.400658339,0.053525995,183.0,13.29105904
5183,78.59605705,0.942335507,0.942335507,1.273492877,5.7045220589999985,1.0941045740000002,2.834936796,4.268722847,78.02904043,10.94964672,3.240632745,66.99650757,9.031883622,8.292440852999999,0.258695694,1.028090102,0.328161023,136.0,10.94964672
5184,88.74371057,0.782778865,0.782778865,1.132801935,4.173666667,0.3850253770000001,2.851097004,4.590254352,63.50610974,2.674545172,4.120470508,69.60629921,10.6130051,10.35220829,0.8034502040000001,0.469783844,1.247148666,15.0,7.650443166
5185,86.00463594,1.668106607,1.640001646,1.868919867,6.905885496000002,1.153286343,2.469580572,4.458534232,60.70449920000001,13.09837792,3.598389254,55.06520553,10.84974912,11.15974758,1.036509405,0.860144978,0.648485164,131.0,15.23979103
5186,79.60460681,1.013610915,1.013610915,1.253783783,4.533753846000001,0.449136831,2.607300366,4.436236288,63.15873414,5.791170635,3.8538318,66.49095062,10.26885456,11.01888739,0.693261485,0.582404488,0.341020504,65.0,9.263392857000001
5187,88.18335008,0.511947402,0.511947402,0.598135419,3.428777778,0.8364476409999999,3.2162730510000004,3.578878327,53.11416443,5.084478238,3.278197037,83.7503066,8.850938956,8.727483994,0.425668825,0.30068129,0.471105392,126.0,5.709532897999999
5188,87.280022,1.5058410130000002,1.5058410130000002,1.513827205,3.4705606060000003,1.7170314430000002,3.70914286,4.32472262,74.58623836,12.0041496,3.898674148,68.12933025,10.00013219,10.785525,1.022016354,0.426048471,0.5352941520000001,66.0,14.07812155
