,Fed RSSD,Bank Name,Yield on Earning Assets,Cost of Funding Earnings Assets,Net Interest Margin,NonInterest Inc to Ave Asset,NonInterest Exp to Ave Asset,Loan Lease Loss Prov to Assets,Net Op Inc to Assets,Return On Assets,Pretax ROA,Return on Equity,RE to Ave Equity,Net Chargeoffs to Loans,Credit Loss Prov to Chargeoffs,Efficiency Ratio,Assets per Emp,Cash Div to Net Inc,Earning Assets to Total Asst Ratio,Loss Allow to Loans,Loan Loss Allow to noncurr Loans,Noncurr Assets Other RE,Noncurrent Loans to Loans,Net Loans Lease to Tot Assets,Net Loans Lease to Deposits,Net Loans Lease to core deposits,Tot Dom Deposits to Tot Assets,Equity to Assets,Core Capital Ratio,Tier 1-based risk capital ,Total risk based  Capt ratio,Common Equity tier 1,Average Total Assets.1,Average earning assets,Average equity,Average Total Loans,Bank Size
4758,639651,The First National Bank of Pawnee,3.965845035,0.256829325,3.70901571,0.6531124070000001,3.157240954,0.057346455,0.981261568,0.981261568,0.981261568,7.399994955,1.081168094,0.165120302,85.71428571,75.24677297,3.285578947,85.38961039,95.53711595,1.592623638,70.13422819,1.132540928,2.270822221,41.37378656,50.48080682,50.48080682,81.95943998,13.10671835,13.7164331,25.00856458,26.20189563,25.00856458,62776.33,59962.0,8324.33,25436.0,Medium
4759,719030,The First National Bank of Peterstown,4.087741248,0.22086113,3.866880117,0.531666185,2.893177337,0.101114428,0.8763032959999999,0.789344888,0.919815117,6.443599203,6.443599203,0.019846354,775.0,72.05523964,4.128,0.0,90.31815245,1.153408127,78.67768595,0.977067183,1.465991422,65.88016796,75.25411847,77.24776549,87.54360465,12.20607235,12.82578985,21.65309446,22.90173724,21.65309446,61316.67,55238.33,7511.33,40309.67,Medium
4760,138725,The First National Bank of Powhatan Point,2.576485855,0.210543858,2.365941997,0.141674116,1.268320656,0.0,1.028823936,1.028823936,1.109780574,12.15219327,9.004575998,0.025447462,0.0,53.33333333,8.969142857000001,25.90163934,94.77573904,2.562982379,1089.849550892263,0.0,0.0,10.6571738,11.62156529,11.74539646,91.70170744,8.040265036000001,8.540480939,20.64761457,21.33756713,20.64761457,59291.0,56045.33,5019.67,7859.33,Medium
4763,644963,The First National Bank of Quitaque,3.972681663,0.342820245,3.629861418,0.5626153429999999,2.791156637,0.113253738,0.774509433,0.774509433,0.946216713,5.042018805,5.042018805,0.055142618,387.5,72.4857685,4.1961538460000005,0.0,91.00458295,1.242709438,19.73684211,3.48304308,6.2963944860000005,54.63061412,65.96644236,66.42075467,82.81576535,15.62419798,15.49017475,25.65526766,26.79616897,25.65526766,54744.33,49588.67,8409.33,29015.67,Medium
4764,421445,The First National Bank of Raymond,3.837109065,0.349487258,3.487621807,0.522274196,2.835004345,0.006945136,1.000099524,1.000099524,1.020934931,9.678284417,5.64566591,-0.002194852,-500.0,72.92340885,3.55905,41.66666667,96.10921454,0.8027931229999999,112.7419355,0.441831388,0.71206257,60.67068459,67.77889384,72.57907297,89.51265085,10.40235456,11.38905484,17.0845317,17.81292985,17.0845317,143985.67,137916.33,14878.67,91122.33,Medium
4765,590145,The First National Bank of Rembrandt,3.664852748,0.6003452570000001,3.06450749,0.022111256,1.194007849,0.073704188,1.241915572,1.241915572,1.63254777,6.192388507,6.192388507,-0.190032489,-64.51612903,41.16899619,8.844166667,0.0,93.77178931,2.346801457,61.95840555,2.212381042,3.78770473,56.06708753,71.24691683,72.24690998,78.69405446,20.83859418,20.69351439,36.08039547,37.34226616,36.08039547,54271.0,50970.67,10884.33,32626.0,Medium
4766,956255,The First National Bank of River Falls,3.754450682,0.465585468,3.288865214,0.672689585,2.572717673,0.0,1.159074021,1.159074021,1.164051639,11.10972145,3.612363416,0.002477619,0.0,68.84871551,4.572803279,67.48466258,93.33945171,1.403763911,636.3128492000002,0.271383554,0.220609078,57.35980010000001,68.36146123,69.43329413,83.90663259,10.4165397,11.36129781,18.38585676,19.63708939,18.38585676,281259.0,262035.67,29343.67,161445.33,Medium
4767,173641,The First National Bank of Russell Springs,4.138808643,0.638318615,3.500490028,0.37480261,2.789140237,0.00665893,0.7809973170000001,0.7809973170000001,0.823804722,6.444859361000002,3.69735537,0.032864635,41.17647059,77.0565046,5.813583333,42.63093788,93.17068742,1.902056976,107.3974082,1.425779664,1.77104551,49.01452059,56.54923017,60.75944869,86.67584058,12.03168824,13.13694758,21.12979634,22.38267148,21.12979634,210244.0,194887.0,25477.67,103454.67,Medium
4769,414652,The First National Bank of Scott City,4.214049145,0.408579548,3.805469598,0.31899369,2.609639871,0.568419608,0.580297032,0.580297032,0.66513578,4.81995631,4.81995631,1.051189189,87.92650919,67.90286976,4.359269231,0.0,92.48462604,1.735522129,53.89638659,2.02662761,3.220108505,61.84434582,72.87897692,74.176958,84.85896542,12.63620402,12.88484571,15.42248176,16.67263988,15.42248176,117870.67,109158.67,14191.0,72489.33,Medium
4770,195157,The First National Bank of Sedan,3.935256928,0.654702852,3.280554076,0.246840082,3.361572163,0.097436874,-0.204617436,-0.227352707,-0.207865332,-2.815955202,-2.815955202,-0.033169332999999995,-600.0,102.6785714,2.95305,0.0,92.07090974,2.200235245,451.06382980000006,0.238736222,0.4877880020000001,47.8657659,53.13909774,56.15924035,90.07636173,8.174599143,8.912486505,15.53957239,16.79543731,15.53957239,61578.33,56819.67,4971.67,30148.33,Medium
