,Tot Dom Deposits to Tot Assets,Pretax ROA,Return On Assets,Net Op Inc to Assets,NonInterest Inc to Ave Asset,NonInterest Exp to Ave Asset,Net Interest Margin,RE to Ave Equity,Efficiency Ratio,Net Loans Lease to Tot Assets,Return on Equity
2970,86.38284972,1.643822717,1.344412151,1.344412151,0.488450179,2.48452062,3.834253152,6.516863814,60.18202503,66.9417895,10.06991777
2971,87.27046322,0.630217605,0.492357504,0.492357504,0.142783676,3.453067293,4.205919385,4.028827604,83.75796178,82.29868836,4.028827604
2972,85.32724556,0.609916702,0.511967866,0.511967866,0.428011721,3.3804694960000004,4.000493037,3.808085938,84.71534653,68.79458815,3.808085938
2973,86.45954238,1.389442749,1.229685855,1.230013845,1.387692241,3.30035264,3.621373422,10.88264337,70.36753295,54.42896968,10.88264337
2974,87.65003707,1.597745622,1.597745622,1.597745622,0.136872945,1.829445575,3.597999305,5.039682153999999,50.32189512,78.32167671,13.87952556
2975,88.90959079999998,1.540835881,1.139752915,1.139752915,0.30583899,2.096425742,3.621732529,5.182717972,55.30429927,77.67237007,11.70186007
2976,88.35656856,1.633015837,1.156185467,1.156185467,0.337113944,2.138045853,3.761394574,8.068818676,54.86842105,80.0785572,12.54840422
2977,73.90066074,-0.134617812,-0.092549745,-0.092549745,0.022436302,3.101818743,3.005389028,-0.363296086,104.1431262,42.68768512,-0.363296086
2978,88.19277975,1.3581415419999998,1.102542835,1.102542835,0.857099333,2.8636116780000003,3.563979022,11.59915001,69.05658956,55.55471262,11.59915001
2982,74.37890989,2.207290514,2.1190067580000003,2.123536954,0.381645367,1.012412155,3.082510334,7.778972127,30.581457500000006,81.55014207,22.64559228
2983,84.84146741,1.289426709,1.087222434,1.082661604,0.526292795,2.374589655,3.51563701,9.297049837000001,61.71175555,55.73391466,11.86809593
2984,85.62888064,1.075632109,0.938802583,0.938802583,0.719621953,3.4245389760000005,4.173916726,6.2487455270000005,75.48043204,56.2663796,8.116249668
2985,84.60912991,1.260910179,0.8949637420000001,0.8949637420000001,0.21828384,1.497170335,2.724215666,6.095410667,53.65853659,51.25904347,6.095410667
2986,87.22509945,1.74056576,1.74056576,1.74056576,0.750118298,2.610848641,4.065090324,-5.312069403,59.55149502,59.46483525,14.02855898
2987,71.01710818,1.165354788,0.844857552,0.844857552,0.025524,0.972017067,2.24661412,7.409034779,43.5985955,87.94610217,7.409034779
2988,81.64401339,0.6683724870000001,0.539447845,0.539447845,0.653105095,3.041603728,3.550882006,4.289471909,79.36860827,67.60808688,4.289471909
2989,77.38069496,1.727769389,1.452337284,1.452337284,0.25858214,2.758857572,4.545106793,5.865700034,59.6803589,60.72647809,6.713500397000001
2990,89.10211346,0.110046311,0.092851575,0.089481407,0.151313678,2.224425696,2.2845000580000003,0.8207518490000001,92.27294341,50.38613015,0.8207518490000001
2991,80.56048496,2.168138967,1.618765264,1.618765264,0.427756624,2.201688506,4.685287717,7.120919943,45.12411348,54.42297591,9.610752091
2992,82.96992357,1.336703039,0.656773148,0.656773148,0.672942943,3.010176989,3.921074297,4.935346335,69.24913892,73.67519089,8.263251625
2993,84.81587944,1.7617338669999998,1.447424408,1.4504874580000002,0.8737696229999999,2.3368828230000003,3.460835698,8.081327769,57.56348914,70.07420837,12.92135902
2994,85.81986174,1.461086916,1.152142484,1.121340307,0.7012264770000001,3.2769539510000003,4.329532955,9.083300565,68.26635047,84.34418446,9.083300565
2995,85.21516452,0.922729425,0.783773556,0.7851006620000001,0.656267234,2.664621916,3.239516573,4.946073527,73.60552041,40.46402103,6.415836978
2996,86.72340906,1.254903275,1.258454218,1.258454218,0.638459561,2.279705441,3.168886042,11.19377096,63.72840977,55.32947993,13.66071773
2997,68.72940925,0.6361514779999999,0.6361514779999999,0.6361514779999999,0.211601233,2.613342617,3.036970513,3.966831573,88.70082342,65.98041962,3.966831573
2998,69.31463152,1.773655561,1.472749256,1.472749256,0.602837844,2.055595029,3.480475976,6.38394612,52.32931727,74.455526,8.42493211
2999,91.86748164,0.623448703,0.494294368,0.494294368,0.5580742870000001,2.541629751,3.11726877,0.92238348,74.66042155,46.98953186,6.3541973060000005
3000,87.77626262,1.233273365,1.220773973,1.220773973,15.83589665,17.70913889,3.255795197,5.402494096,94.24751244,77.41298455,12.13903965
3001,90.00020962,1.088127211,1.088127211,1.088127211,0.537413939,3.011694315,4.173040965,5.548249734,70.94844774,77.21216876,11.27183919
3002,83.33382026,0.51376465,0.359206843,0.359206843,0.226728723,2.808074779,3.552013285,4.321395248,80.28832564,80.96327893,4.321395248
3003,72.1577533,1.393905799,1.077721452,1.070062146,0.333318932,2.165840814,3.518503364,6.293485903,59.59661154,69.970187,11.89362166
3004,86.7920031,2.114794582,2.114794582,2.114794582,0.16613036,1.930704183,4.319918155,8.534282811,46.48648649,72.5270387,21.61100647
3005,83.57420152,0.882225163,0.6855329929999999,0.345004443,0.39338434,2.929457848,3.343933125,5.90870721,79.84491704,75.86043369,5.90870721
3006,81.41437105,0.399097838,0.315253754,0.315253754,3.063662813,6.49288583,3.935726297,3.427478073,94.20924574,91.61178523,3.427478073
